"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD79A",0,4.19662462125919,0.952,0.018,0,"B","CD79A"
"MS4A1",0,3.82300124494393,0.896,0.011,0,"B","MS4A1"
"IGHM",0,3.29070017717798,0.712,0.017,0,"B","IGHM"
"CD74",0,2.96571483426399,0.998,0.863,0,"B","CD74"
"HLA-DRA",0,2.6691940453701,0.966,0.385,0,"B","HLA-DRA"
"CD79B",0,2.63047135721389,0.782,0.073,0,"B","CD79B"
"HLA-DQA1",0,2.60018619722677,0.776,0.091,0,"B","HLA-DQA1"
"BANK1",0,2.55745004961052,0.716,0.01,0,"B","BANK1"
"LINC00926",0,2.54832660765792,0.696,0.005,0,"B","LINC00926"
"HLA-DQB1",0,2.39327145524817,0.872,0.214,0,"B","HLA-DQB1"
"FAM129C",0,2.17230075668357,0.611,0.022,0,"B","FAM129C"
"FCER2",0,2.13830159132646,0.507,0.005,0,"B","FCER2"
"CD37",0,2.08271603527821,0.977,0.849,0,"B","CD37"
"HLA-DPA1",0,2.03819326588596,0.958,0.514,0,"B","HLA-DPA1"
"RALGPS2",0,1.99153763205011,0.594,0.024,0,"B","RALGPS2"
"HLA-DPB1",0,1.96466241048148,0.92,0.475,0,"B","HLA-DPB1"
"HLA-DRB5",0,1.96089961574822,0.861,0.388,0,"B","HLA-DRB5"
"HLA-DQA2",0,1.84757802924191,0.55,0.093,0,"B","HLA-DQA2"
"HVCN1",0,1.76874272007677,0.578,0.105,0,"B","HVCN1"
"AFF3",0,1.75478826677166,0.528,0.025,0,"B","AFF3"
"MEF2C",0,1.7294878195806,0.635,0.13,0,"B","MEF2C"
"HLA-DMA",0,1.61042715407326,0.768,0.24,0,"B","HLA-DMA"
"SWAP70",0,1.56733149662503,0.507,0.055,0,"B","SWAP70"
"SNX2",0,1.3884340215378,0.673,0.25,0,"B","SNX2"
"HLA-DMB",0,1.33013218366508,0.567,0.15,0,"B","HLA-DMB"
"HLA-DRB1",0,1.28349015928726,0.816,0.372,0,"B","HLA-DRB1"
"FCMR",0,1.23714119974461,0.693,0.308,0,"B","FCMR"
"LTB",0,1.22481577326756,0.861,0.45,0,"B","LTB"
"EZR",0,1.13705450246897,0.703,0.4,0,"B","EZR"
"SYNGR2",0,1.02381990748944,0.67,0.367,0,"B","SYNGR2"
"NCF1",0,0.939546990684162,0.777,0.322,0,"B","NCF1"
"TSC22D3",0,0.92445498705885,0.864,0.796,0,"B","TSC22D3"
"FOXP1",0,0.852962889714835,0.636,0.411,0,"B","FOXP1"
"CXCR4",0,0.831111680851718,0.654,0.441,0,"B","CXCR4"
"POLD4",0,0.827422231950534,0.608,0.377,0,"B","POLD4"
"LAPTM5",0,0.814735658506642,0.937,0.882,0,"B","LAPTM5"
"ISG20",0,0.791093787245301,0.667,0.427,0,"B","ISG20"
"TAGAP",0,0.788281338655729,0.584,0.37,0,"B","TAGAP"
"POU2F2",0,0.787523288721623,0.518,0.244,0,"B","POU2F2"
"CD52",0,0.768166615655705,0.958,0.828,0,"B","CD52"
"REL",0,0.730371646927098,0.571,0.374,0,"B","REL"
"RPS5",0,0.711745768469494,0.989,0.948,0,"B","RPS5"
"SNX3",0,0.69736955017374,0.599,0.397,0,"B","SNX3"
"RPS11",0,0.669679445104073,0.935,0.874,0,"B","RPS11"
"BTG1",0,0.667906049542528,0.89,0.8,0,"B","BTG1"
"RPL18A",0,0.651361451695092,0.997,0.986,0,"B","RPL18A"
"RPL8",0,0.626385421068735,0.996,0.985,0,"B","RPL8"
"RCSD1",0,0.619278479611155,0.527,0.347,0,"B","RCSD1"
"ZFP36L1",0,0.598541245676776,0.641,0.49,0,"B","ZFP36L1"
"PTPN6",0,0.59467246110825,0.597,0.432,0,"B","PTPN6"
"SEC62",0,0.587525197639169,0.64,0.469,0,"B","SEC62"
"RHOH",0,0.587208619858359,0.51,0.298,0,"B","RHOH"
"EEF2",0,0.583861060324844,0.961,0.899,0,"B","EEF2"
"SP100",0,0.581004223688517,0.645,0.455,0,"B","SP100"
"RPS8",0,0.576959819436175,0.998,0.988,0,"B","RPS8"
"SP110",0,0.572603579194043,0.545,0.378,0,"B","SP110"
"RPS23",0,0.557692721956851,0.997,0.986,0,"B","RPS23"
"RPL13A",0,0.538211962028639,0.924,0.894,0,"B","RPL13A"
"PTPRCAP",0,0.531627335889977,0.821,0.556,0,"B","PTPRCAP"
"PNISR",0,0.52263820896813,0.702,0.562,0,"B","PNISR"
"RPL22L1",0,0.519869269014705,0.553,0.412,0,"B","RPL22L1"
"MT-ND4L",0,0.511867048688804,0.984,0.929,0,"B","MT-ND4L"
"HSP90B1",4.95614626151003e-42,0.604795874131671,0.495,0.564,1.38241787672299e-37,"B","HSP90B1"
"LTB1",0,2.0045784036563,0.947,0.336,0,"CD4+ T","LTB"
"IL7R",0,1.84948984603893,0.852,0.22,0,"CD4+ T","IL7R"
"MAL",0,1.63723903957498,0.537,0.049,0,"CD4+ T","MAL"
"TCF7",0,1.56826311752559,0.632,0.126,0,"CD4+ T","TCF7"
"LDHB",0,1.56609913308866,0.928,0.523,0,"CD4+ T","LDHB"
"LEF1",0,1.51099862533292,0.561,0.082,0,"CD4+ T","LEF1"
"NOSIP",0,1.31249580234477,0.725,0.343,0,"CD4+ T","NOSIP"
"CAMK4",0,1.29649193167925,0.533,0.107,0,"CD4+ T","CAMK4"
"FLT3LG",0,1.2066660552449,0.626,0.213,0,"CD4+ T","FLT3LG"
"PIK3IP1",0,1.13888252357751,0.629,0.244,0,"CD4+ T","PIK3IP1"
"SARAF",0,1.10722370562425,0.923,0.726,0,"CD4+ T","SARAF"
"LEPROTL1",0,1.00594596528078,0.678,0.352,0,"CD4+ T","LEPROTL1"
"USHBP1",0,0.971403429319605,0.527,0.203,0,"CD4+ T","USHBP1"
"CD3E",0,0.927876607484183,0.961,0.44,0,"CD4+ T","CD3E"
"C12orf57",0,0.911166711752117,0.815,0.487,0,"CD4+ T","C12orf57"
"RPS12",0,0.901819017111513,0.995,0.991,0,"CD4+ T","RPS12"
"NPM1",0,0.872726861142011,0.939,0.76,0,"CD4+ T","NPM1"
"RPL32",0,0.87144806458323,0.994,0.989,0,"CD4+ T","RPL32"
"RPS25",0,0.850278112838334,0.991,0.974,0,"CD4+ T","RPS25"
"LINC00861",0,0.845313952604588,0.539,0.23,0,"CD4+ T","LINC00861"
"CD3D",0,0.838537239024898,0.821,0.325,0,"CD4+ T","CD3D"
"EEF1B2",0,0.837576219146664,0.972,0.889,0,"CD4+ T","EEF1B2"
"RPL30",0,0.829829224673691,0.995,0.991,0,"CD4+ T","RPL30"
"RPL5",0,0.826010421334304,0.99,0.962,0,"CD4+ T","RPL5"
"RPSA",0,0.822611488739448,0.98,0.909,0,"CD4+ T","RPSA"
"RPS51",0,0.816755498952134,0.984,0.941,0,"CD4+ T","RPS5"
"EEF1A1",0,0.806073877549495,0.999,0.994,0,"CD4+ T","EEF1A1"
"NDFIP1",0,0.79118031769614,0.619,0.383,0,"CD4+ T","NDFIP1"
